project_id,mip_era,activity_id,domain_id,institution_id,driving_source_id,driving_experiment_id,driving_variant_label,source_id,version_realization,frequency,version,time_range,variable_id,path
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,fx,v20200706,,orog,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/fx/orog/v20200706/orog_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_fx.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,fx,v20200706,,sftlf,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/fx/sftlf/v20200706/sftlf_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_fx.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,198212-199012,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/pr/v20200330/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_198212-199012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,199101-200012,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/pr/v20200330/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_199101-200012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,200101-201012,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/pr/v20200330/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_200101-201012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,201101-201211,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/pr/v20200330/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_201101-201211.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,198212-199012,psl,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/psl/v20200330/psl_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_198212-199012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,199101-200012,psl,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/psl/v20200330/psl_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_199101-200012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,200101-201012,psl,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/psl/v20200330/psl_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_200101-201012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,201101-201211,psl,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/psl/v20200330/psl_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_201101-201211.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,198212-199012,tas,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tas/v20200330/tas_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_198212-199012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,199101-200012,tas,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tas/v20200330/tas_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_199101-200012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,200101-201012,tas,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tas/v20200330/tas_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_200101-201012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,201101-201211,tas,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tas/v20200330/tas_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_201101-201211.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,198212-199012,tasmax,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmax/v20200330/tasmax_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_198212-199012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,199101-200012,tasmax,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmax/v20200330/tasmax_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_199101-200012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,200101-201012,tasmax,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmax/v20200330/tasmax_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_200101-201012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,201101-201211,tasmax,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmax/v20200330/tasmax_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_201101-201211.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,198212-199012,tasmin,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmin/v20200330/tasmin_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_198212-199012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,199101-200012,tasmin,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmin/v20200330/tasmin_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_199101-200012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,200101-201012,tasmin,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmin/v20200330/tasmin_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_200101-201012.nc
CORDEX,CMIP5,output,EUR-11,MOHC,ECMWF-ERAINT,evaluation,r1i1p1,HadREM3-GA7-05,v1,mon,v20200330,201101-201211,tasmin,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/MOHC/ECMWF-ERAINT/evaluation/r1i1p1/HadREM3-GA7-05/v1/mon/tasmin/v20200330/tasmin_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_MOHC-HadREM3-GA7-05_v1_mon_201101-201211.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,fx,v20150127,,orog,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/fx/orog/v20150127/orog_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_fx.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,fx,v20150127,,sftlf,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/fx/sftlf/v20150127/sftlf_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_fx.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,mon,v20150127,197901-198012,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/mon/pr/v20150127/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_mon_197901-198012.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,mon,v20150127,198101-199012,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/mon/pr/v20150127/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_mon_198101-199012.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,mon,v20150127,199101-200012,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/mon/pr/v20150127/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_mon_199101-200012.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,mon,v20150127,200101-200812,pr,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/mon/pr/v20150127/pr_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_mon_200101-200812.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,mon,v20150127,197901-198012,psl,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/mon/psl/v20150127/psl_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_mon_197901-198012.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,mon,v20150127,198101-199012,psl,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/mon/psl/v20150127/psl_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_mon_198101-199012.nc
CORDEX,CMIP5,output,EUR-11,CNRM,ECMWF-ERAINT,evaluation,r1i1p1,ALADIN53,v1,mon,v20150127,199101-200012,psl,/mnt/CORDEX_CMIP6_tmp/aux_data/cordex-cmip5/CORDEX/output/EUR-11/CNRM/ECMWF-ERAINT/evaluation/r1i1p1/ALADIN53/v1/mon/psl/v20150127/psl_EUR-11_ECMWF-ERAINT_evaluation_r1i1p1_CNRM-ALADIN53_v1_mon_199101-200012.nc
